,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
59,Saint Mary's,WCC,9-2,Tulsa2009,Stony Brook2013,Creighton2006,10.49,13,0.14023767406471077
60,Oklahoma St.,B12,6-2,Southern Illinois2002,Arkansas2002,Maryland2006,11.32,11,0.381352194579184
61,Memphis,Amer,6-4,UAB2004,East Tennessee St.2004,BYU2012,10.61,9,0.3748295741839871
62,SMU,Amer,6-0,Minnesota2002,Temple2019,Vanderbilt2008,9.64,11,0.4566996131225685
63,DePaul,BE,1-2,Milwaukee2003,Arkansas2002,South Carolina2009,11.24,12,0.37095828643699447
64,Rhode Island,A10,4-5,Syracuse2002,Villanova2003,Duquesne2011,11.04,9,0.2927996963551849
65,Drake,MVC,11-0,Syracuse2006,Niagara2009,Houston2009,8.84,5,0.5421068549376452
66,Davidson,A10,5-4,Stephen F. Austin2014,Harvard2011,DePaul2004,9.23,7,0.4759902568334578
67,Utah,P12,4-1,Toledo2019,Indiana2018,Stephen F. Austin2016,9.45,14,0.3060544092336114
68,Western Kentucky,CUSA,7-2,LSU2014,Arkansas2016,St. Bonaventure2018,10.56,11,0.2231577400222487
69,Miami FL,ACC,4-3,Duquesne2011,UTEP2009,Villanova2003,12.08,13,0.2021297778466903
70,St. Bonaventure,A10,2-1,Indiana2014,Southwest Missouri St.2005,Wichita St.2019,11.01,13,0.39356945265300897
71,Georgia Tech,ACC,5-3,Southwest Missouri St.2005,Toledo2019,Indiana2018,11.08,13,0.1801572946995182
72,North Texas,CUSA,4-3,Florida St.2008,Stanford2007,Colorado2014,10.69,11,0.41406426208721664
73,South Carolina,SEC,1-2,Massachusetts2012,Maryland2006,East Tennessee St.2004,12.16,13,0.23141658808039178
74,TCU,B12,8-2,Tulsa2014,Colorado2019,Ohio St.2016,12.91,13,0.691965228297562
75,Notre Dame,ACC,3-5,North Carolina St.2016,North Dakota St.2009,St. Bonaventure2014,12.09,14,0.20312793161678752
76,Mississippi St.,SEC,6-3,Rhode Island2016,Detroit2003,Seton Hall2015,12.47,14,0.1560814167580143
