,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
215,Florida Atlantic,CUSA,6-6,Northern Illinois2004,Southeastern Louisiana2019,UNC Wilmington2012,None,0,0.0
216,UC San Diego,BW,2-2,UTSA2004,Cornell2004,Louisiana Lafayette2013,15.94,16,0.19708640564242555
217,Evansville,MVC,6-6,Drexel2015,Rutgers2007,Georgia St.2009,15.55,16,0.02724901237811668
218,UT Rio Grande Valley,WAC,7-3,UMBC2002,Hampton2014,Appalachian St.2004,15.62,16,0.04709958789150714
219,Appalachian St.,SB,9-5,Florida Atlantic2013,Air Force2014,Rider2004,16.0,16,0.0161723438643833
220,Texas Southern,SWAC,2-6,Gardner Webb2016,Youngstown St.2011,Columbia2017,15.79,16,0.08140408686076903
221,Samford,SC,5-6,Appalachian St.2002,Alcorn St.2002,Florida Atlantic2005,16.0,16,0.049822547108293716
222,Army,Pat,6-3,Stony Brook2018,UNC Wilmington2010,Navy2009,16.0,16,0.027948531265597723
223,Nicholls St.,Slnd,5-5,Sam Houston St.2017,McNeese St.2006,Northeastern2003,16.0,16,0.014292652152872001
224,Norfolk St.,MEAC,6-4,Chattanooga2006,Marist2013,Middle Tennessee2019,None,0,0.0
225,Towson,CAA,1-4,Charleston Southern2006,Wright St.2003,Charleston Southern2011,None,0,0.0
226,Stetson,ASun,4-5,Gardner Webb2018,Stetson2013,Cleveland St.2005,16.0,16,0.02829791821670219
227,Loyola MD,Pat,0-0,Texas Southern2017,Southern2016,NJIT2016,15.87,16,0.11201637508415883
228,South Alabama,SB,8-6,Tennessee Martin2016,Boston University2019,East Carolina2008,16.0,16,0.014204981360854617
229,Albany,AE,1-5,Colgate2003,Coastal Carolina2004,Coastal Carolina2014,16.0,16,0.029939628284395094
230,Illinois St.,MVC,4-6,Tennessee Martin2003,Louisiana Lafayette2013,UTSA2006,15.82,16,0.0761425757744549
231,Western Michigan,MAC,2-8,Fordham2019,Miami OH2013,Eastern Michigan2007,None,0,0.0
232,College of Charleston,CAA,5-6,Texas Southern2015,Northern Arizona2014,Drake2003,15.0,15,0.04453066452782643
233,Campbell,BSth,8-7,UNC Wilmington2007,Northern Illinois2004,Louisiana Monroe2017,None,0,0.0
234,Niagara,MAAC,5-6,Florida Atlantic2013,Rider2004,Western Carolina2006,16.0,16,0.013764515231598775
235,New Hampshire,AE,4-5,Stephen F. Austin2017,Santa Clara2010,Centenary2009,16.0,16,0.028464939446234332
236,Sacramento St.,BSky,4-1,Penn St.2004,Siena2012,South Alabama2005,16.0,16,0.016919129467322217
237,Long Beach St.,BW,3-4,Florida Atlantic2005,Tennessee St.2002,Charlotte2017,16.0,16,0.03425063623276057
238,LIU Brooklyn,NEC,4-2,Harvard2003,South Carolina St.2003,High Point2005,16.0,16,0.06702811787952917
239,Delaware,CAA,4-5,South Florida2016,Central Michigan2007,Louisiana Lafayette2009,16.0,16,0.018147369135703074
240,UC Davis,BW,2-2,Louisiana Lafayette2013,Western Michigan2019,Evansville2019,16.0,16,0.047708176273381336
241,Morgan St.,MEAC,5-3,North Dakota2019,Evansville2019,Louisiana Lafayette2013,16.0,16,0.03880463335735944
242,Utah Valley,WAC,5-5,Wyoming2010,Sam Houston St.2017,Lamar2002,16.0,16,0.01429038395146311
243,American,Pat,0-0,Gardner Webb2018,Montana2004,Mississippi Valley St.2012,16.0,16,0.029327356539507902
244,The Citadel,SC,8-1,Texas Southern2019,Chicago St.2009,Houston Baptist2019,16.0,16,0.01599458288956301
245,Radford,BSth,8-6,Hartford2007,Furman2012,Wright St.2015,None,0,0.0
